,name,street,zip,city,siren,status,description,working_hours,no_cars
20,2B-CAR,"15 RTE D EPINAL, RAMBERVILLERS (88700)",88700,Rambervillers,947716361,Actif depuis le 05/01/2023,"Avec notre solide savoir-faire technique, nous sommes spécialisés dans la vente de véhicules de tourisme et utilitaires, tant pour les professionnels que pour les particuliers. Nous proposons une large gamme de véhicules adaptés à tous les budgets, chacun étant rigoureusement révisé, contrôlé et garanti, afin d’assurer votre tranquillité et une qualité optimale.

*ACHAT / VENTE / REPRISE*
*RECHERCHE PERSONNALISÉE*

LIVRAISON POSSIBLE DANS TOUTE LA FRANCE (DEVIS SUR DEMANDE).

N’hésitez pas à nous contacter pour plus d’informations !","Nous vous accueillons du Lundi au Samedi :
-de 8h30 à 12h00 
-de 13h30 à 18h30
Possibilité de rendez-vous le Dimanche.",Annonces (17)
21,2B moto,13 allée georges pompidou,15000,aurillac,792524829,Actif depuis le 17/06/2013,"2b Moto à Aurillac, votre concessionnaire Beta, CF Moto, TGB, Goes, Hytrack, Sur-ron, Talaria
Achat vente reprise motos et quads
Vente d'équipements pilote et moto
Stock permanent
Nombreux véhicules disponibles à l'essai.","Mardi au Vendredi :
9H00 - 12H00 / 14H00 - 19H00
Samedi :
9H00 - 12H00 / 14H00 - 18H00",Annonces (36)
22,2B Motors,,,,828226183,Actif depuis le 13/04/2017,"2B MOTORS est une concession automobile toutes marques, spécialiste du véhicule neuf et occasion récent en CORSE (L'ile rousse) et PACA (Roquevaire) .

-Recherche personnalisée véhicule PREMIUM et HAUT DE GAMME clefs en main .
-Livraison possible sur toute la france.
-Reprise de votre ancien véhicule possible sous condition argus professionnel.
-Dépôt vente ou rachat immédiat.
-Service carte grise minute (Agrément ANTS et S.I.V).

Nos véhicules en stock sont visibles sur le bon coin en tapant « 2B MOTORS » dans la barre de recherche ,VIDEO et PHOTOS supplémentaires disponible sur :
-FACEBOOK : 2B MOTORS
-INSTAGRAM 2B.MOTORS

N’hésitez pas à nous contacter pour plus de renseignements.
-Contact CORSE : Mr Randazzo 06.26.70.33.33
-Contact PACA : Mr Soddu 07.83.31.20.27",sur rendez-vous,Annonces (40)
23,2C AUTO,19 Rue de Villeneuve,2200,Soissons,928322098,Actif depuis le 29/05/2024,2C AUTO vous accueille et vous propose une sélection de véhicules d'occasion toutes marques,,Annonces (13)
24,2C AUTOMOBILES,4 rue des Truches,88120,Rochesson,538863515,Actif depuis le 05/05/2022,"Nous vous proposons des véhicules neufs et occasions toutes 
marques
 pendant toute l'année à des tarifs très intéressant.

N'hésitez pas à nous contacter pour la moindre demande, nous
 sommes à votre disposition.",Du lundi au samedi : 8h00-12h00/13h30-19h00.,Annonces (5)
25,2D MOTO,133 cours paul doumer,17100,SAINTES,519004782,Actif depuis le 03/01/2015,"2D MOTO à Saintes, votre spécialiste Moto Occasion, 
Accessoires Moto et Pilote et Atelier Service Rapide

Revendeur SHERCO, FANTIC, QJ MOTOR et SYM.

2D MOTO à Saintes, 133 cours paul doumer 17100 
SAINTES. Tel : 0546745332. @ : contact@2dmoto.fr

Un large de choix de motos d'occasion, révisées et 
garanties. Retrouvez également la gamme QJ MOTOR, SHERCO, FANTIC et SYM.

Les plus grandes marques d'accessoires pilote et moto : 
Alpinestar, Ixon, Furygan, HJC, Scorpion, Astone, Shark...

Un atelier service rapide et des promos permanentes sur les 
pneus...",Mardi au samedi 9h-12h et 14h-19h,Annonces (85)
26,2G AUTO VIP,508 BOULEVARD DU MERCANTOUR,6200,NICE,814572442,Actif depuis le 25/11/2015,"2G AUTO VIP nous vous proposons un large choix de véhicules d'occasions multi marques tels que Fiat , Peugeot , Renault , Citroën , Dacia , Bmw , Volkswagen , Mercedes Benz , Audi , Porsche , Land Rover , Ferrari etc....
Tous nos véhicules sont contrôles révisés et garantis.
Vente a marchand professionel de l'automobile disponible également , veuillez nous contactez si besoin ou autres .
Locations de véhicules pour la partie événementielle ( mariage , bapteme ou autres ) véhicules sur demande.
Plus de 200 Véhicules mensuels disponible sur parc a la vente selon les arrivages.
Tous nos véhicules sont exclusivement FRANÇAIS , pour la plupart 1ère Main .
Ne cherchez plus , vous êtes au bon endroit .

Au plaisir de vous recevoir.","2G AUTO VIP

Nous sommes ouvert du Lundi au Samedi de 9H00 a 19H00

Au plaisir de vous recevoir",Annonces (12)
27,2L 2D AUTO,2 ROUTE DE SAINT JUST,60120,BRETEUIL,752282772,Actif depuis le 10/08/2020,"2L2D AUTO c'est 12 années d'activités 

Nous sommes spécialisé dans l'américaine et plus précisément dans l'américaine de collection .
N'hésitez pas a nous suivre sur notre site internet afin de suivre nos nouveautés , futur arrivage et actualités .

Notre équipe est a votre écoute

Américainement votre","lundi: 09:30 - 18:00
mardi: 09:30 - 18:00
mercredi: 09:30 - 18:00
jeudi: 09:30 - 18:00
vendredi: 09:30 - 18:00
samedi: 09:30 - 17:30
dimanche: FERMÉ",Annonces (39)
28,2 L AUTOMOBILES,49 ROUTE DE TARBES,64320,IDRON,523085470,Actif depuis le 06/11/2010,"Achat Vente et Réparation de véhicules neufs et d'occasion
Toutes marques

Spécialiste en entretien des boites automatique, vidange à 
100% avec machine la meilleur méthode pour une vidange 
parfaite

Facilité de paiement","DU LUNDI AU VENDREDI DE 9H A 12H ET DE 14H A 
19H LE SAMEDI SUR RDV",Annonces (6)
29,2L AUTOMOBILES,10 bis Rue du Pont Bascule,12450,Luc-la-Primaube,912234382,Actif depuis le 04/05/2022,"Concessionnaire indépendant, 2L Automobiles vous accompagne pour l'achat de votre véhicule de marques prémiums et sportives. Passionné par l'automobile, à votre disposition pour tout renseignements ainsi que pour vous présenter les véhicules présents sur le parc. 

Disponibles par téléphone ou ou 10 bis rue du Pont Bascule 12450 Luc Primaube 

Possibilité de reprise de votre ancien véhicule
Recherche personnalisée 
Réalisation des démarches administratives
Livraison à domicile 

Faites confiance à des professionnels de l'automobile","Lundi : 14h-19h
Mardi au vendredi : 9h-12h   14h-19h
Samedi : 9h-12h    13h30-17h",Annonces (10)
30,2M AUTO,Les Hautes Merlatieres Cerizay,79140,CERIZAY,808877641,Actif depuis le 05/05/2022,"Garage Automobile - Carrosserie/Peinture - Véhicules Neufs et Occasions

- Véhicules Neufs Mandataire et Occasions
- Recherche de véhicule selon vos critères

- Carrosserie/Peinture Auto/Moto/Camping-Car
- Prise en charge des sinistres assurance sans avance d'argent
- Réparation et changement de Pare-Brise
- Restauration véhicule de collection

- Installateur agrée boitier FlexFuel Bioéthanol E85 homologué

- Location de véhicule / LOA / LDD

- Financement véhicule 

Nous restons à votre disposition pour toutes demandes ou informations.

À bientôt","DU LUNDI AU VENDREDI
7H30 - 12H30 - 14H00 - 18H30
SAMEDI 
8H00 - 12H30",Annonces (30)
31,2 M CARS,1859 route de marseille,83470,Saint-Maximin-La-Sainte-Baume,830927349,Actif depuis le 11/09/2017,"Tous nos véhicules sont disponible sur notre parc.
Véhicules toutes marques.

N'hésitez pas à nous contacter.

Venez visiter notre site -> www.2mcars.com 

A très vite !","Lundi au samedi 8h30 à 12h30 et de 14h00 à 
19h30",Annonces (9)
32,2M Motors,11 BIS AVENUE DE LA MARE,95310,Saint-Ouen-l'Aumône,914483995,Actif depuis le 29/06/2022,REPRISE POSSIBLE DE VOTRE ANCIEN VÉHICULE.,"Ouvert du lundi au samedi de 10h a 19H
UNIQUEMENT SUR RENDEZ-VOUS",Annonces (18)
33,2N Turbo,10 rue Jules Vercruysse,95100,Argenteuil,837730688,Actif depuis le 02/08/2018,"2N Turbo le spécialiste du turbo, vous propose une large 
gamme de turbocompresseurs neuf et échange standard à des 
prix très attractifs.
Nous vous proposons aussi la possibilité de réparer votre 
turbo sur devis.

Tous nos turbos sont garantis 2ans.

Livraison partout en France en 24h pour toute commande 
passée avant 15h.

Nous vous accueillons dans nos locaux situés au 10, rue 
Jules Vercruysse 95100 Argenteuil, du Lundi au Vendredi de 
9h à 18h et le Samedi de 9h à 12h.","Du Lundi au Vendredi : 9h-12h30 et 13h30-18h
Le Samedi de : 9h-12h",Annonces (2)
34,2R OCCAZ,210 Avenue Charles de Gaulle,69720,Saint-Bonnet-de-Mure,928149483,Actif depuis le 21/05/2024,"2R OCCAZ est une entreprise spécialisée dans l'achat / revente de 2 roues d'occasion.
Nous sommes situés sur l'est Lyonnais à proximité de la gare TGV /aéroport de Saint-Exupéry.","Du lundi au samedi 
Matin : 9h à 12h
Après midi : 14h à 18h 
fermé le dimanche et jours fériés

Nous sommes joignable au 0617581821 ou 0757673625",Annonces (19)
35,2 ROUES 1 CLIC,8 Boulevard Saint Germain,75005,Paris,832869515,Actif depuis le 31/01/2022,"Venez découvrir notre large gamme de véhicules 2roues ! 

Les véhicules proposés sont révisés dans nos ateliers.
Vous pouvez opter pour des garanties supplémentaires. 

Possibilité de paiement en 3 ou 4 fois en boutique. 
Nous vous proposons des prix attractifs et sommes à votre écoute !","Du Mardi au Vendredi de 10h a 19h
Samedi de 10h a 18h",Annonces (17)
36,2 ROUES 1 CLIC,67 Rue Maurice Berteaux,93120,La Courneuve,832869515,Actif depuis le 31/01/2022,,"Du Mardi au Vendredi de 10h a 19h
Samedi de 10h a 18h",Annonces (6)
37,2 ROUES MELOISES - 2RM,ZI ST JULIEN,61170,ST JULIEN SUR SARTHE,339053126,Actif depuis le 30/11/2010,"Depuis plus de 25 ans, les 2 roues méloises accompagnent 
leurs pilotes sur les terrains de motocross, les spéciales 
d'enduro, les pistes d'endurance ou les routes normandes au 
guidon de routières, supermotards, cyclos, cycles ou quads. 
N'hésitez pas à rejoindre notre équipe de passionnés et 
bénéficiez de nos compétences acquises en plus de 25 années 
d'expérience.","DU MARDI AU SAMEDI DE 8H30 A 12H15 ET DE 
14H00 A 18H00 (17H00 LE SAMEDI)",Annonces (46)
38,2TH AUTO,1 RUE FREYCINET,77400,LAGNY-SUR-MARNE,903945269,Actif depuis le 31/12/2021,Vente de véhicules d'occasion !,"Ouvert du lundi au vendredi de 10h à 19h, le samedi de 10h à 13h sur RDV.",Annonces (174)
39,314CARS,16 rue Pierre Curie,42300,ROANNE,922270814,Actif depuis le 18/04/2023,"Detailing • Covering • Film PPF • Gardiennage • Achat/vente • Nettoyage

314CARS, votre spécialiste Roannais en achat, vente, protection et rénovation de véhicules.

Nous vous proposons différentes solutions de financement en fonction du véhicule sélectionné (crédit classique, crédit-ballon, leasing, LOA,…).
De la reprise de votre ancien véhicule au financement de votre nouveau projet, nous nous occupons de tout. 

Chaque véhicule est rigoureusement sélectionné : nous vous garantissons le kilométrage et sommes en mesure de vous fournir l’historique le plus complet et transparent possible.

Nous vous offrons également différentes possibilités d'extension de garantie de 6, 12 ou 24 mois (garantie valable chez tous les concessionnaires de la marque en France et partout en Europe). 

Nous gérons également pour vous la partie administrative de votre nouvelle acquisition, comme la réalisation du certificat d’immatriculation.

Notre showroom de Roanne, à deux pas de la Nationale 7, vous accueille du lundi au samedi, de 09h00 à 18h00, UNIQUEMENT SUR RENDEZ-VOUS, afin de vous recevoir dans les meilleures conditions possibles.

Nous sommes en mesure de venir vous récupérer à la gare de Roanne, pour plus de simplicité.","Uniquement sur rendez-vous
Lundi au vendredi : 8h – 18h
samedi : 9h – 12h",Annonces (64)
40,330 OCCASIONS,558 rue leon foucault,14200,Hérouville-Saint-Clair,825336860,Actif depuis le 06/02/2017,"330 OCCASIONS Vous propose une Garantie de 3 mois à 48 mois 
sur tous les véhicules d’occasion !

Le choix garanti: Avec de nombreux véhicules d'occasion et 
des arrivages permanents, vous trouverez forcément la
voiture que vous cherchez !
Des prix justes et parmi les plus bas du marché

Véhicules d'occasion contrôlés.

Reprise de votre ancien véhicule.

Contactez nous pour plus d'informations !
 06 64 15 93 36",9h 12h 14h 19h,Annonces (34)
41,3A Services,17 petite rue du pont amilion,17100,Saintes,921262531,Actif depuis le 05/12/2022,"Achat, vente de véhicule d'occasions multimarques.","Lundi au Vendredi
9h00 - 12h00
13h30 - 18h00

Samedi
10h00 - 13h00",
42,3AVL,65 AV DE LATTRE DE TASSIGNY,94440,VILLECRESNES,848785184,Actif depuis le 17/08/2023,Ventes de véhicules occasions toutes marques,"Du Lundi au Jeudi 
08h00-12h00 / 13h003-18h00
Vendredi 
08h00-12h00 / 13h30-17h30
Visite le samedi sur RDV
Fermé Dimanche et jours fériés",Annonces (20)
43,3B Rouen,7 Av du Général Leclerc,76250,Déville-lès-Rouen,881701056,Actif depuis le 07/07/2020,"3B CAN-AM NORMANDIE, concessionnaire exclusif Can-Am et Sea-Doo, du groupe BRP. Vente aux particuliers et professionnels de 3 roues, quad, SSV, Motomarine et accessoires des marques Can-Am et Sea-Doo. Entretiens et réparations.","Du mardi au vendredi
de 9H00 à 12H00 et de 14H00 à 19H00
Le samedi
de 9h00 à 12h00 et de 14h00 à 18h00",Annonces (16)
